instance_key,uid,name,path,level,parent_uid
EMIS,H9el93mnb6m,"Acwao Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/fJIbsMWIqvm/H9el93mnb6m,6,fJIbsMWIqvm
EMIS,eHqTEITWJ03,"Acwera(Amuru Subcounty) Parish",/KJPN4PduBWe/yXncUmqtQYF/C0RSe3EWBqU/SQ3IaVbkqiy/ZetpPb7xE2Q/eHqTEITWJ03,6,ZetpPb7xE2Q
EMIS,ghVLlfDlCLQ,"Acwera(Kucwiny Subcounty) Parish",/KJPN4PduBWe/ToANlYyRiKb/Xjc0LDFa5gW/GDfVHitWE3g/sO0r8dMBnBt/ghVLlfDlCLQ,6,sO0r8dMBnBt
EMIS,B7LFNaj0VOC,"Adacar Parish",/KJPN4PduBWe/rn2uTdRyUbh/cSrCFjPKqcG/i11SZTLQap4/hVZeyZ0q28u/B7LFNaj0VOC,6,hVZeyZ0q28u
EMIS,zMzE9v61iQ0,"Adagmon Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/oHnubudtkgX/zMzE9v61iQ0,6,oHnubudtkgX
EMIS,d4XsiTLPgWg,"Adagwoo Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/FsinlhpFnq3/d4XsiTLPgWg,6,FsinlhpFnq3
EMIS,Z12NIVPLPXV,"Adakun Parish",/KJPN4PduBWe/rn2uTdRyUbh/TM6ccNxawqy/qUhuL9OJHWh/zzsaYyuJz1T/Z12NIVPLPXV,6,zzsaYyuJz1T
EMIS,CbVoTDiQiMm,"Adal Parish",/KJPN4PduBWe/DmeAF6ZFSzz/WiVj4bEhX4P/YpQyE8oBqG8/A5nf4YARnYV/CbVoTDiQiMm,6,A5nf4YARnYV
EMIS,UbjZc2Xwp3Y,"Adalafu Parish",/KJPN4PduBWe/ToANlYyRiKb/WcB3kLlgRTb/DoqDOSg4uWw/eM769s83Ie7/UbjZc2Xwp3Y,6,eM769s83Ie7
EMIS,lVvp19ZMeYy,"Adea Parish",/KJPN4PduBWe/uN4gXUciDZ8/NREoMszwQZW/SyQ5EM0LXrU/YzgCzwkOJLN/lVvp19ZMeYy,6,YzgCzwkOJLN
EMIS,MCrHnWsTjLe,"Adekokwok Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Ku3UkPGHQ7U/FldPzwXnjfK/MCrHnWsTjLe,6,FldPzwXnjfK
EMIS,CC5heKOo5VE,"Adel Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/jsnhoLUzhDg/CC5heKOo5VE,6,jsnhoLUzhDg
EMIS,Ijz7QVodHbS,"Adem Parish",/KJPN4PduBWe/n90wmiOocDw/JyZJhGXKeEq/MxlrhFbwmzK/u02CLxZxpNF/Ijz7QVodHbS,6,u02CLxZxpNF
EMIS,fSnUpei4iC4,"Ademi Parish",/KJPN4PduBWe/yXncUmqtQYF/ztIyIYAzFKp/S2jpKJZLT9Q/bgcAfFSJVV0/fSnUpei4iC4,6,bgcAfFSJVV0
EMIS,vK0z1p62R9N,"Ader Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/hWbz7QYuaRi/vK0z1p62R9N,6,hWbz7QYuaRi
EMIS,RGQtt5bj7G4,"Aderolongo Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/jkEv7p1AY7B/RGQtt5bj7G4,6,jkEv7p1AY7B
EMIS,K8gX3LOXX3X,"Adidi Parish",/KJPN4PduBWe/ToANlYyRiKb/QYiQ2KqgCxj/IWyZ8SIUBMF/BIpNirBPqVy/K8gX3LOXX3X,6,BIpNirBPqVy
EMIS,d3kS0FCrG6B,"Adigo Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/Pm9QCE8Tbaf/d3kS0FCrG6B,6,Pm9QCE8Tbaf
EMIS,U5QdMCuIYad,"Adok(Adok Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/HIwCAP46Wfh/U5QdMCuIYad,6,HIwCAP46Wfh
EMIS,Wdw37BA5HHA,"Adok(Arocha Division) Parish",/KJPN4PduBWe/n90wmiOocDw/JyZJhGXKeEq/hYG3R7JZ67R/TIEYOBPZROP/Wdw37BA5HHA,6,TIEYOBPZROP
EMIS,YlReafHCFW8,"Adola Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/b62W7Du8SBv/YlReafHCFW8,6,b62W7Du8SBv
EMIS,Z6BxBZGrG8O,"Adolo Parish",/KJPN4PduBWe/ToANlYyRiKb/Xjc0LDFa5gW/GDfVHitWE3g/CH2YURsZ7P5/Z6BxBZGrG8O,6,CH2YURsZ7P5
EMIS,iR3D8mJZMRf,"Adonyoimo Parish",/KJPN4PduBWe/n90wmiOocDw/ZuQHWOaFQVM/w2z5HQFFbPY/bY0J4KZy2NO/iR3D8mJZMRf,6,bY0J4KZy2NO
EMIS,ECtb2f8fM9X,"Adowongowor Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/KfCqofEu1kM/ECtb2f8fM9X,6,KfCqofEu1kM
EMIS,fRuMo93iYop,"Adraa Parish",/KJPN4PduBWe/ToANlYyRiKb/bLoH4VbxCGI/IAkdv8lnkij/BDdBTDClCZT/fRuMo93iYop,6,BDdBTDClCZT
EMIS,OTA2BaDGMn4,"Adripi Parish",/KJPN4PduBWe/ToANlYyRiKb/yKjxFBHrGgw/YSFmAjdcrQU/GKvplwWtTl3/OTA2BaDGMn4,6,GKvplwWtTl3
EMIS,BqJ9p2YSbtu,"Adul Parish",/KJPN4PduBWe/rn2uTdRyUbh/aj4hsYK3dVm/QRniz3m12CL/k0zoEg1Qdka/BqJ9p2YSbtu,6,k0zoEg1Qdka
EMIS,Pp6I8APi4BE,"Adwoa Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/zuc46mrwazu/Pp6I8APi4BE,6,zuc46mrwazu
EMIS,kZDchpqIsl3,"Adwoki Parish",/KJPN4PduBWe/n90wmiOocDw/wMQ25dybdgH/JQS5nqalLHt/ATIUYA06Pqh/kZDchpqIsl3,6,ATIUYA06Pqh
EMIS,EbsWZeTVtmB,"Adyaka Parish",/KJPN4PduBWe/n90wmiOocDw/Lj8t70RYnEt/Z6jOVYoS7Le/kQC82MEQIvT/EbsWZeTVtmB,6,kQC82MEQIvT
EMIS,QXUZ0RR9Bb8,"Adyang Parish",/KJPN4PduBWe/n90wmiOocDw/Y4LV8xqkv6J/yuZ66tsFybX/unpu0JZWBny/QXUZ0RR9Bb8,6,unpu0JZWBny
EMIS,SD3PrDLO3NL,"Adyeda(Aduku Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/gCN6sU5BjlR/YQofQVGhwAl/WoNw1cfI6QF/SD3PrDLO3NL,6,WoNw1cfI6QF
EMIS,UrjRa7F7eIx,"Adyeda(Akalo Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/Y4LV8xqkv6J/yuZ66tsFybX/unpu0JZWBny/UrjRa7F7eIx,6,unpu0JZWBny
EMIS,OhQE5rI3NUo,"Adyeda(Loro Subcounty) Parish",/KJPN4PduBWe/n90wmiOocDw/xpIFdCMhVHG/AvtLMZ8q4ez/Pm9QCE8Tbaf/OhQE5rI3NUo,6,Pm9QCE8Tbaf
